Date,rate
2022-06-01,1.1354575427585225
2022-06-02,1.1258109839486876
2022-06-03,1.1357075242947183
2022-06-06,1.1757992192479065
2022-06-07,1.2370516335793726
2022-06-08,1.2466297078853887
2022-06-09,1.2565159368378478
2022-06-10,1.2668887249265612
2022-06-13,1.3475960355040517
2022-06-14,1.7045018310052928
2022-06-15,1.797053927700061
2022-06-16,1.7039199148875321
2022-06-17,1.5505753018808122
2022-06-20,1.5505753018808122
2022-06-21,1.5908662518447767
2022-06-22,1.672693465677389
2022-06-23,1.5809952923031634
2022-06-24,1.600743592574559
2022-06-27,1.6719333569369725
2022-06-28,1.7634949356272227
2022-06-29,1.7627951207910868
2022-06-30,1.74235591628807
2022-07-01,1.6712598758656223
2022-07-04,1.6712598758656223
2022-07-05,1.6704493553355007
2022-07-06,1.8739752041012683
2022-07-07,1.8632563887766251
2022-07-08,1.9039174157517573
2022-07-11,1.924312736201169
2022-07-12,2.1475509799106383
2022-07-13,2.177897520108837
2022-07-14,2.3505498185962184
2022-07-15,2.3504211809199553
2022-07-18,2.309228903951601
2022-07-19,2.4622778125643614
2022-07-20,2.481606269956904
2022-07-21,2.4620041647980635
2022-07-22,2.4198497205440788
2022-07-25,2.4287889454806586
2022-07-26,2.5707696829285016
2022-07-27,2.500316350123062
2022-07-28,2.3869244395286064
2022-07-29,2.3679865731117
2022-08-01,2.3567051557710075
2022-08-02,2.4984285209467347
2022-08-03,2.4982031230885733
2022-08-04,2.4568474004352256
2022-08-05,2.426704221351949
2022-08-08,2.4975787015671735
2022-08-09,2.5882297429828034
2022-08-10,2.597864038914417
2022-08-11,2.5770289404165276
2022-08-12,2.5362884378862782
2022-08-15,2.5455270184756777
2022-08-16,2.6475062258546536
2022-08-17,2.6277942263673593
2022-08-18,2.606567230238155
2022-08-19,2.6269497103938386
2022-08-22,2.6571242184317185
2022-08-23,2.7580029656136387
2022-08-24,2.7272348337730676
2022-08-25,2.7476951571756154
2022-08-26,2.798139747548266
2022-08-29,2.797620125749831
2022-08-30,2.908718664708054
2022-08-31,2.8986260766468797
2022-09-01,2.8883352553146007
2022-09-02,2.8968836840320797
2022-09-05,2.8968836840320797
2022-09-06,2.8671928339087307
2022-09-07,2.978107043513403
2022-09-08,2.999486782434348
2022-09-09,2.988093225856717
2022-09-12,2.9984070004233527
2022-09-13,3.108760433021954
2022-09-14,3.2105138794467285
2022-09-15,3.159667262923846
2022-09-16,3.138456171277585
2022-09-19,3.118417521330525
2022-09-20,3.310871575218718
2022-09-21,3.2802396618339906
2022-09-22,3.2272824156018753
2022-09-23,3.208369406727646
2022-09-26,3.1371441715927593
2022-09-27,3.318517021628287
2022-09-28,3.277863838250293
2022-09-29,3.3089947762246235
2022-09-30,3.277363033885804
2022-10-03,3.2384776581190358
2022-10-04,3.358260311880631
2022-10-05,3.338078418325722
2022-10-06,3.349413830911072
2022-10-07,3.3377481302939693
2022-10-10,3.3377481302939693
2022-10-11,3.3280670018311542
2022-10-12,3.5512053457359256
2022-10-13,3.5806412958209455
2022-10-14,3.6611515917837614
2022-10-17,3.6700215786643677
2022-10-18,3.8428529383464305
2022-10-19,3.913339024515367
2022-10-20,3.9331697238699013
2022-10-21,3.932783408058198
2022-10-24,3.922676003165
2022-10-25,4.022971044641023
2022-10-26,3.992551464019774
2022-10-27,3.9623449627675065
2022-10-28,3.97252674551691
2022-10-31,4.013035102138553
2022-11-01,4.083738413857725
