Date,rate
2022-06-01,2.235810377683074
2022-06-02,2.3463546011213947
2022-06-03,2.3032208454809964
2022-06-06,2.333023681980193
2022-06-07,2.3832115756748857
2022-06-08,2.411876830932569
2022-06-09,2.4432005988493173
2022-06-10,2.4958259916086405
2022-06-13,2.7290149394611887
2022-06-14,3.0868936456918004
2022-06-15,3.323378804640588
2022-06-16,3.052018049427186
2022-06-17,2.9827088584131722
2022-06-21,2.965478815304309
2022-06-22,2.971976575350034
2022-06-23,2.809263101127534
2022-06-24,2.770234443276573
2022-06-27,2.8193310269342615
2022-06-28,2.894805112467086
2022-06-29,2.8841431048505295
2022-06-30,2.8888993540028243
2022-07-01,2.756842947562253
2022-07-05,2.737694073324101
2022-07-06,2.7388770128352276
2022-07-07,2.799768500088129
2022-07-08,2.840339289556879
2022-07-11,2.941254297477814
2022-07-12,2.9633504553115078
2022-07-13,3.0784756341367157
2022-07-14,3.2052291043660937
2022-07-15,3.148587204141135
2022-07-18,3.1003439774234813
2022-07-19,3.1189783243651372
2022-07-20,3.172335779579698
2022-07-21,3.176656065246723
2022-07-22,3.096280244135913
2022-07-25,2.991319669922358
2022-07-26,3.0611905943666153
2022-07-27,3.045681377706316
2022-07-28,2.9798276464017905
2022-07-29,2.9026322875842623
2022-08-01,2.9595331854422047
2022-08-02,2.9740943609170754
2022-08-03,3.091351187158731
2022-08-04,3.14429448140797
2022-08-05,3.103618743243918
2022-08-08,3.2937678632056255
2022-08-09,3.3021102504579156
2022-08-10,3.3391095844797323
2022-08-11,3.2645970169857406
2022-08-12,3.252335480642257
2022-08-15,3.2594030177857602
2022-08-16,3.234877513824027
2022-08-17,3.267779473068098
2022-08-18,3.2740397007475965
2022-08-19,3.245373273503459
2022-08-22,3.2650018144272903
2022-08-23,3.3283646683164045
2022-08-24,3.298496426542332
2022-08-25,3.357132066493359
2022-08-26,3.3397858053165552
2022-08-29,3.370543511748712
2022-08-30,3.442484398387201
2022-08-31,3.4936500569894355
2022-09-01,3.512947797679405
2022-09-02,3.5228468153369827
2022-09-06,3.4834881815911505
2022-09-07,3.6214880540262304
2022-09-08,3.6117430008948084
2022-09-09,3.614197863113706
2022-09-12,3.6881190789878966
2022-09-13,3.715596492120829
2022-09-14,3.937283213242564
2022-09-15,3.969068755587092
2022-09-16,4.024523853463616
2022-09-19,3.988266854736114
2022-09-20,4.063774571171985
2022-09-21,4.049702951255421
2022-09-22,4.102274195283689
2022-09-23,4.107543775257314
2022-09-26,4.172095338818021
2022-09-27,4.1918205533214135
2022-09-28,4.181620293072369
2022-09-29,4.016146618534496
2022-09-30,4.021402624091306
2022-10-03,4.102058536489983
2022-10-04,4.064017631495744
2022-10-05,4.182934562707152
2022-10-06,4.177397399169187
2022-10-07,4.2464917247027
2022-10-11,4.308709122855146
2022-10-12,4.321778253712338
2022-10-13,4.311813350163246
2022-10-14,4.498603958071691
2022-10-17,4.529193861006663
2022-10-18,4.5153428799532005
2022-10-19,4.501795410744858
2022-10-20,4.592579982723579
2022-10-21,4.659731932620221
2022-10-24,4.568273263888211
2022-10-25,4.618208753243481
2022-10-26,4.606477733169138
2022-10-27,4.571785134987963
2022-10-28,4.53729649013315
2022-10-31,4.586881121607913
2022-11-01,4.688749006731996
